date,title,price,characteristics,num_photos,extra_characteristics,inmobiliaria,barrio,city,id,page_suffix
2024-10-15,"Estudio en calle de Ercilla, Acacias, Madrid",990€/mes,60 m²Planta 4ª exterior con ascensor18 minutos,1/24,,,arganzuela,madrid,/inmueble/106264072/,
2024-10-15,"Piso en paseo de las Delicias, Delicias, Madrid",1.450€/mes,2 hab.65 m²Planta 3ª interior con ascensor,1/46,,/pro/galota-inversion-e-inmobiliaria/,arganzuela,madrid,/inmueble/106164430/,
2024-10-15,"Piso en paseo de las Delicias, Palos de la Frontera, Madrid",1.400€/mes,3 hab.85 m²Planta 1ª exterior con ascensor37 minutos,1/22,,,arganzuela,madrid,/inmueble/86762518/,
2024-10-15,"Piso en paseo de las Delicias, Delicias, Madrid",1.500€/mes,2 hab.65 m²Planta 3ª interior con ascensor08 oct,1/46,Alquiler de temporada,/pro/galota-inversion-e-inmobiliaria/,arganzuela,madrid,/inmueble/106191919/,
2024-10-15,"Piso en calle del Laurel, 14, Acacias, Madrid",1.500€/mes,3 hab.75 m²Planta 4ª exterior con ascensor1 hora,1/39,,,arganzuela,madrid,/inmueble/102057105/,
2024-10-15,"Piso en paseo de Santa María de la Cabeza, Palos de la Frontera, Madrid",1.500€/mes,2 hab.82 m²Planta 3ª exterior con ascensor10 oct,1/44,,/pro/casasymas/,arganzuela,madrid,/inmueble/106225700/,
2024-10-15,"Piso en ronda de Toledo, Acacias, Madrid",1.250€/mes,2 hab.67 m²Planta 3ª interior con ascensor6 horas,1/18,,/pro/kwone/,arganzuela,madrid,/inmueble/106258871/,
2024-10-15,"Piso en calle San Epifanio, 6, Imperial, Madrid",1.465€/mesGaraje incluido,1 hab.62 m²Planta 3ª exterior con ascensor,1/23,,,arganzuela,madrid,/inmueble/105902531/,
2024-10-15,"Piso en paseo de las Delicias, 117, Delicias, Madrid",1.500€/mes,2 hab.36 m²sin ascensor6 horas,1/9,,/pro/spacestcom/,arganzuela,madrid,/inmueble/106259893/,
2024-10-15,"Piso en calle de Rafael de Riego, 46, Palos de la Frontera, Madrid",1.310€/mesGaraje incluido,1 hab.64 m²Planta 1ª exterior con ascensor,1/19,,,arganzuela,madrid,/inmueble/105903907/,
2024-10-15,"Piso en calle del General Lacy, 46, Palos de la Frontera, Madrid",1.300€/mes,1 hab.65 m²Planta 3ª exterior con ascensor13 horas,1/26,,,arganzuela,madrid,/inmueble/106258490/,
2024-10-15,"Piso en calle San Epifanio, 6, Imperial, Madrid",2.445€/mesGaraje incluido,3 hab.122 m²Planta 5ª exterior con ascensor,1/33,,,arganzuela,madrid,/inmueble/105912692/,
2024-10-15,"Piso en calle de Jaime el Conquistador, 38, Chopera, Madrid",1.100€/mes,2 hab.60 m²Planta 1ª interior con ascensor15 horas,1/6,,,arganzuela,madrid,/inmueble/99834546/,
2024-10-15,"Piso en calle San Epifanio, 6, Imperial, Madrid",1.700€/mesGaraje incluido,2 hab.74 m²Planta 9ª exterior con ascensor,1/28,,,arganzuela,madrid,/inmueble/106089904/,
2024-10-15,"Piso en calle de Embajadores, 284, Legazpi, Madrid",1.800€/mesGaraje incluido,2 hab.80 m²Planta 1ª exterior con ascensor17 horas,1/32,,,arganzuela,madrid,/inmueble/106256400/,
2024-10-15,"Piso en calle San Epifanio, 6, Imperial, Madrid",1.750€/mesGaraje incluido,2 hab.83 m²Planta 5ª exterior con ascensor,1/20,,,arganzuela,madrid,/inmueble/106137676/,
2024-10-15,"Piso en calle de Valdelasierra, 3, Acacias, Madrid",1.300€/mesGaraje incluido,2 hab.89 m²Planta 5ª exterior con ascensor19 horas,1/34,,,arganzuela,madrid,/inmueble/34635748/,
2024-10-15,"Piso en calle de Embajadores, 107, Delicias, Madrid",1.515€/mesGaraje incluido,1 hab.71 m²Bajo interior con ascensor11 oct,1/15,,,arganzuela,madrid,/inmueble/106238137/,
2024-10-15,"Piso en calle del Teniente Coronel Noreña, Legazpi, Madrid",2.000€/mesGaraje incluido,3 hab.130 m²Planta 2ª exterior con ascensor20 horas,1/61,Alquiler de temporada,,arganzuela,madrid,/inmueble/106253893/,
2024-10-15,"Piso en calle de Rafael de Riego, 46, Palos de la Frontera, Madrid",1.630€/mesGaraje incluido,2 hab.85 m²Planta 3ª exterior con ascensorPublicado ayer,1/18,,,arganzuela,madrid,/inmueble/106248235/,
2024-10-15,"Piso en paseo de los Pontones, Imperial, Madrid",2.200€/mes,3 hab.135 m²Bajo exterior con ascensor22 horas,1/23,,,arganzuela,madrid,/inmueble/106251755/,
2024-10-15,"Piso en Acacias, Madrid",1.600€/mes,2 hab.70 m²exterior con ascensor11 oct,1/35,,/pro/engel-volkers-madrid/,arganzuela,madrid,/inmueble/106237949/,
2024-10-15,"Piso en calle de Sebastián Elcano, Palos de la Frontera, Madrid",1.100€/mes,1 hab.47 m²Planta 3ª interior con ascensorPublicado ayer,1/32,Apartamento,,arganzuela,madrid,/inmueble/33340817/,
2024-10-15,"Piso en calle Manuel Aleixandre, Legazpi, Madrid",1.100€/mes,2 hab.45 m²Planta 1ª interior con ascensor,1/17,,/pro/alquilofacil-moncloa/,arganzuela,madrid,/inmueble/105555850/,
2024-10-15,"Piso en calle de Embajadores, Legazpi, Madrid",1.100€/mesGaraje incluido,1 hab.55 m²Planta 2ª exterior con ascensorPublicado ayer,1/43,,,arganzuela,madrid,/inmueble/39653076/,
2024-10-15,"Piso en calle Casimiro Mahou Bierhans, 21, Imperial, Madrid",1.575€/mesGaraje incluido,1 hab.67 m²Bajo exterior con ascensor,1/52,,/pro/vivenio/,arganzuela,madrid,/inmueble/105004915/,
2024-10-15,"Piso en calle Nereida, Legazpi, Madrid",1.800€/mesGaraje incluido,3 hab.128 m²Planta 7ª exterior con ascensorPublicado ayer,1/54,,/pro/sell-house-rivas/,arganzuela,madrid,/inmueble/106248374/,
2024-10-15,"Piso en Palos de la Frontera, Madrid",1.960€/mesGaraje incluido,3 hab.114 m²Planta 1ª exterior con ascensor,1/25,,,arganzuela,madrid,/inmueble/101322159/,
2024-10-15,"Piso en calle de Canarias, Palos de la Frontera, Madrid",1.100€/mes,1 hab.56 m²Planta 5ª exterior con ascensorPublicado ayer,1/24,,/pro/hernan-inmobiliaria/,arganzuela,madrid,/inmueble/106248049/,
2024-10-15,"Piso en calle de Moratines, Acacias, Madrid",1.700€/mesGaraje incluido,3 hab.77 m²Planta 1ª interior con ascensor,1/32,,,arganzuela,madrid,/inmueble/94850987/,
2024-10-15,"Dúplex en calle Cobre, 1, Delicias, Madrid",1.400€/mes,1 hab.73 m²Bajo exterior con ascensor13 oct,1/7,,,arganzuela,madrid,/inmueble/1891439/,pagina-2
2024-10-15,"Piso en calle de Toledo, Acacias, Madrid",1.500€/mesGaraje incluido,2 hab.100 m²Planta 2ª exterior con ascensor09 oct,1/33,,/pro/novahome-madrid/,arganzuela,madrid,/inmueble/106210187/,pagina-2
2024-10-15,"Ático en Acacias, Madrid",1.850€/mesGaraje incluido,2 hab.80 m²Planta 6ª exterior con ascensor13 oct,1/37,,,arganzuela,madrid,/inmueble/25356579/,pagina-2
2024-10-15,"Piso en calle de Alejandro Dumas, 21, Imperial, Madrid",1.290€/mesGaraje incluido,1 hab.55 m²Planta 1ª exterior con ascensor,1/36,,/pro/vivenio/,arganzuela,madrid,/inmueble/104150758/,pagina-2
2024-10-15,"Piso en calle de Melilla, 6, Acacias, Madrid",1.650€/mesGaraje incluido,2 hab.95 m²Planta 9ª exterior con ascensor,1/22,,/pro/shmadrid/,arganzuela,madrid,/inmueble/103407962/,pagina-2
2024-10-15,"Piso en calle de Alejandro Dumas, 8, Imperial, Madrid",1.560€/mesGaraje incluido,2 hab.70 m²Planta 3ª exterior con ascensor,1/47,,/pro/vivenio/,arganzuela,madrid,/inmueble/104151790/,pagina-2
2024-10-15,"Piso en calle delicias, 6, Palos de la Frontera, Madrid",1.800€/mes,3 hab.90 m²Planta 5ª exterior con ascensor,1/25,,,arganzuela,madrid,/inmueble/38620324/,pagina-2
2024-10-15,"Piso en calle de Alejandro Dumas, 8, Imperial, Madrid",1.605€/mesGaraje incluido,2 hab.71 m²Planta 7ª exterior con ascensor,1/48,,/pro/vivenio/,arganzuela,madrid,/inmueble/104152223/,pagina-2
2024-10-15,"Piso en paseo de las Delicias, Delicias, Madrid",1.650€/mes,2 hab.88 m²Planta 5ª exterior con ascensor,1/26,,,arganzuela,madrid,/inmueble/105987912/,pagina-2
2024-10-15,"Piso en calle San Epifanio, Imperial, Madrid",1.810€/mesGaraje incluido,2 hab.85 m²Planta 2ª exterior con ascensor,1/25,,,arganzuela,madrid,/inmueble/105925651/,pagina-2
2024-10-15,"Piso en Méndez Álvaro, 43, Delicias, Madrid",1.700€/mesGaraje incluido,2 hab.68 m²Planta 5ª exterior con ascensor,1/44,,/pro/vivenio/,arganzuela,madrid,/inmueble/106078654/,pagina-2
2024-10-15,"Piso en calle del Mezquite, Delicias, Madrid",1.622€/mesGaraje incluido,2 hab.114 m²Planta 1ª exterior con ascensor08 oct,1/39,,,arganzuela,madrid,/inmueble/106203317/,pagina-2
2024-10-15,"Ático en Méndez Álvaro, 43, Delicias, Madrid",2.100€/mesGaraje incluido,1 hab.53 m²Planta 9ª exterior con ascensor,1/43,,/pro/vivenio/,arganzuela,madrid,/inmueble/106054344/,pagina-2
2024-10-15,"Piso en Méndez Álvaro, 43, Delicias, Madrid",1.645€/mesGaraje incluido,2 hab.67 m²Planta 1ª exterior con ascensor,1/46,,/pro/vivenio/,arganzuela,madrid,/inmueble/106053733/,pagina-2
2024-10-15,"Piso en Méndez Álvaro, 43, Delicias, Madrid",1.955€/mesGaraje incluido,3 hab.100 m²Planta 1ª exterior con ascensor,1/57,,/pro/vivenio/,arganzuela,madrid,/inmueble/106054149/,pagina-2
2024-10-15,"Piso en Méndez Álvaro, 43, Delicias, Madrid",1.330€/mes,1 hab.40 m²Planta 5ª exterior con ascensor,1/38,,/pro/vivenio/,arganzuela,madrid,/inmueble/106078073/,pagina-2
2024-10-15,"Ático en Méndez Álvaro, 43, Delicias, Madrid",2.500€/mesGaraje incluido,2 hab.82 m²Planta 9ª exterior con ascensor,1/46,,/pro/vivenio/,arganzuela,madrid,/inmueble/106054559/,pagina-2
2024-10-15,"Piso en calle Casimiro Mahou, 21, Imperial, Madrid",1.560€/mesGaraje incluido,2 hab.70 m²Planta 3ª exterior con ascensor,1/57,,/pro/vivenio/,arganzuela,madrid,/inmueble/104199382/,pagina-2
2024-10-15,"Piso en Méndez Álvaro, 43, Delicias, Madrid",1.175€/mes,1 hab.39 m²Planta 1ª exterior con ascensor,1/42,,/pro/vivenio/,arganzuela,madrid,/inmueble/105740842/,pagina-2
2024-10-15,"Piso en calle Casimiro Mahou, 21, Imperial, Madrid",1.605€/mesGaraje incluido,2 hab.71 m²Planta 7ª exterior con ascensor,1/57,,/pro/vivenio/,arganzuela,madrid,/inmueble/104199163/,pagina-2
2024-10-15,"Piso en calle Casimiro Mahou, 21, Imperial, Madrid",1.325€/mesGaraje incluido,1 hab.56 m²Planta 8ª exterior con ascensor,1/45,,/pro/vivenio/,arganzuela,madrid,/inmueble/104199026/,pagina-2
2024-10-15,"Piso en calle Nogales, Acacias, Madrid",2.300€/mesGaraje incluido,3 hab.153 m²exterior con ascensor,1/44,,/pro/engel-volkers-madrid/,arganzuela,madrid,/inmueble/105409525/,pagina-2
2024-10-15,"Piso en paseo de las Yeserías, Acacias, Madrid",2.100€/mes2.300 €9%,2 hab.103 m²Planta 1ª exterior con ascensor,1/32,,/pro/huspy/,arganzuela,madrid,/inmueble/105949595/,pagina-2
2024-10-15,"Ático en calle de Leganés, Delicias, Madrid",2.220€/mesGaraje incluido,2 hab.127 m²Planta 9ª exterior con ascensor,1/48,,,arganzuela,madrid,/inmueble/105832200/,pagina-2
2024-10-15,"Piso en San Epifanio, 8, Imperial, Madrid",1.535€/mesGaraje incluido,1 hab.62 m²Planta 7ª exterior con ascensor,1/51,,,arganzuela,madrid,/inmueble/104911315/,pagina-2
2024-10-15,"Piso en San Epifanio, 8, Imperial, Madrid",1.570€/mesGaraje incluido,1 hab.63 m²Planta 4ª exterior con ascensor,1/32,,,arganzuela,madrid,/inmueble/103516225/,pagina-2
2024-10-15,"Piso en San Epifanio, 8, Imperial, Madrid",1.810€/mesGaraje incluido,2 hab.85 m²Planta 2ª exterior con ascensor,1/68,,,arganzuela,madrid,/inmueble/104911756/,pagina-2
2024-10-15,"Piso en San Epifanio, 8, Imperial, Madrid",1.695€/mesGaraje incluido,2 hab.83 m²Planta 2ª exterior con ascensor,1/32,,,arganzuela,madrid,/inmueble/103710324/,pagina-2
2024-10-15,"Piso en calle de la Ribera de Curtidores, Acacias, Madrid",2.500€/mes,2 hab.96 m²Planta 4ª exterior con ascensorPublicado ayer,1/41,Alquiler de temporada,/pro/casasymas/,arganzuela,madrid,/inmueble/106211493/,pagina-2
2024-10-15,"Piso en San Epifanio, 8, Imperial, Madrid",1.615€/mesGaraje incluido,1 hab.63 m²Planta 7ª exterior con ascensor,1/75,,,arganzuela,madrid,/inmueble/104911237/,pagina-2
2024-10-15,"Piso en calle de Martín de Vargas, Acacias, Madrid",1.795€/mesGaraje incluido1.900 €6%,3 hab.90 m²Planta 5ª exterior con ascensor,1/23,,/pro/alquiler-seguro/,arganzuela,madrid,/inmueble/106082499/,pagina-3
2024-10-15,"Ático en calle de Enrique Trompeta, Chopera, Madrid",1.520€/mes,3 hab.63 m²Planta 4ª exterior con ascensor,1/35,,/pro/gilmararganzuela/,arganzuela,madrid,/inmueble/106190774/,pagina-3
2024-10-15,"Dúplex en paseo de las Acacias, Acacias, Madrid",1.300€/mesGaraje incluido,1 hab.64 m²Planta 1ª exterior con ascensorPublicado ayer,1/39,,,arganzuela,madrid,/inmueble/106230444/,pagina-3
2024-10-15,"Piso en paseo de los Pontones, Imperial, Madrid",1.695€/mesGaraje incluido1.800 €6%,2 hab.90 m²Planta 3ª exterior con ascensor,1/51,,/pro/alquiler-seguro/,arganzuela,madrid,/inmueble/105196460/,pagina-3
2024-10-15,"Ático en Méndez Álvaro, 43, Delicias, Madrid",2.800€/mesGaraje incluido,3 hab.112 m²Planta 9ª exterior con ascensor,1/55,,/pro/vivenio/,arganzuela,madrid,/inmueble/106054639/,pagina-3
2024-10-15,"Piso en Méndez Álvaro, 43, Delicias, Madrid",1.435€/mes,1 hab.50 m²Bajo exterior con ascensor,1/48,,/pro/vivenio/,arganzuela,madrid,/inmueble/106078351/,pagina-3
2024-10-15,"Piso en calle del General Lacy, 40, Palos de la Frontera, Madrid",1.200€/mes,1 hab.30 m²Planta 1ª con ascensor10 oct,1/10,,/pro/spacestcom/,arganzuela,madrid,/inmueble/106225610/,pagina-3
2024-10-15,"Piso en Laurel, 33, Acacias, Madrid",1.200€/mes1.300 €8%,2 hab.71 m²Bajo exterior sin ascensor,1/24,,/pro/estateone/,arganzuela,madrid,/inmueble/98748335/,pagina-3
2024-10-15,"Piso en calle de la Arquitectura, 30, Acacias, Madrid",1.300€/mes,1 hab.35 m²Bajo sin ascensor10 oct,1/13,,/pro/spacestcom/,arganzuela,madrid,/inmueble/106225609/,pagina-3
2024-10-15,"Piso en Imperial, Madrid",1.950€/mesGaraje incluido2.200 €11%,2 hab.101 m²Planta 5ª exterior con ascensor,1/32,,/pro/engel-volkers-madrid/,arganzuela,madrid,/inmueble/106186930/,pagina-3
2024-10-15,"Piso en calle del Duque de Tovar, Imperial, Madrid",3.500€/mesGaraje incluido,3 hab.140 m²Planta 11ª exterior con ascensor,1/65,,/pro/engel-volkers-madrid/,arganzuela,madrid,/inmueble/105914115/,pagina-3
2024-10-15,"Piso en Delicias, Madrid",1.490€/mesGaraje incluido1.650 €10%,1 hab.67 m²Planta 1ª exterior con ascensor,1/26,,/pro/engel-volkers-madrid/,arganzuela,madrid,/inmueble/105677171/,pagina-3
2024-10-15,"Ático en Delicias, Madrid",1.980€/mes2.200 €10%,2 hab.92 m²Planta 6ª exterior con ascensor,1/30,,/pro/engel-volkers-madrid/,arganzuela,madrid,/inmueble/105926276/,pagina-3
2024-10-15,"Estudio en de Leganés, 11, Delicias, Madrid",1.465€/mesGaraje incluido,37 m²Planta 1ª exterior con ascensor,1/11,,,arganzuela,madrid,/inmueble/105893399/,pagina-3
2024-10-15,"Piso en de Leganés, 11, Delicias, Madrid",1.805€/mesGaraje incluido,1 hab.47 m²Planta 2ª exterior con ascensor,1/12,Apartamento,,arganzuela,madrid,/inmueble/105893293/,pagina-3
2024-10-15,"Piso en de Leganés, 11, Delicias, Madrid",1.625€/mesGaraje incluido,1 hab.47 m²Planta 1ª exterior con ascensor,1/12,Apartamento,,arganzuela,madrid,/inmueble/105893382/,pagina-3
2024-10-15,"Piso en de Leganés, 11, Delicias, Madrid",2.120€/mesGaraje incluido,2 hab.67 m²Planta 3ª exterior con ascensor,1/12,,,arganzuela,madrid,/inmueble/105893486/,pagina-3
2024-10-15,"Piso en de Leganés, 11, Delicias, Madrid",2.380€/mesGaraje incluido,2 hab.68 m²Planta 2ª exterior con ascensor,1/12,,,arganzuela,madrid,/inmueble/105893449/,pagina-3
